Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue,Run_Time_Minutes,Poster_URL
https://www.imdb.com/title/tt8337290/,Absolution,Action,11/1/24,5.2,6.6K,$30.0M,3900000,112,https://image.tmdb.org/t/p/w500/gt70JOD9xsPlpJnuBJAWdOT4yRg.jpg
https://www.imdb.com/title/tt16280912/,Humane,Horror,7/26/24,5.5,6.7K,0,44500,93,https://image.tmdb.org/t/p/w500/ecOvKaoM1hwQbp0uTnULGrSV32e.jpg
https://www.imdb.com/title/tt27118357/,Amaran,Action,10/31/24,8.2,17K,0,1700000,167,https://image.tmdb.org/t/p/w500/eCB06m1KUGilEOlIzb40nkQhVY0.jpg
https://www.imdb.com/title/tt19356262/,Drive-Away Dolls,Action,2/23/24,5.4,22K,0,7900000,84,https://image.tmdb.org/t/p/w500/6QPKmqntFgLm6sB47AtSelEGGPM.jpg
https://www.imdb.com/title/tt23137390/,Immaculate,Horror,3/22/24,5.8,51K,$9.0M,35300000,89,https://image.tmdb.org/t/p/w500/zyopv7D5j7cfswG0NYiA14qAdPC.jpg
https://www.imdb.com/title/tt21692408/,Kung Fu Panda 4,Animation,3/8/24,6.3,65K,$85.0M,547700000,94,https://image.tmdb.org/t/p/w500/nqXsAaQsKw2gKpkfhIgjXNDRqg7.jpg
https://www.imdb.com/title/tt13397574/,Mothers' Instinct,Drama,8/13/24,6.3,19K,0,3400000,94,https://image.tmdb.org/t/p/w500/6EtPToJlGpjyuIxkIoztnBXYFgJ.jpg
https://www.imdb.com/title/tt26731216/,The Forge,Drama,8/23/24,6.7,4.3K,0,40400000,124,https://image.tmdb.org/t/p/w500/oranxontIQRmhuyQlkoAwxpeBYz.jpg
https://www.imdb.com/title/tt31392609/,How to Make Millions Before Grandma Dies,Comedy,9/13/24,8.0,12K,0,5200000,125,https://image.tmdb.org/t/p/w500/9Xa0Grd2jq2lM2gqcoTB4F9TjMd.jpg
https://www.imdb.com/title/tt26548265/,Maharaja,Action,6/13/24,8.4,64K,$2.4M,975500,141,https://image.tmdb.org/t/p/w500/s0m4TM1XRAftQStgKpw024RvkJo.jpg
https://www.imdb.com/title/tt23778968/,Thelma,Action,6/21/24,7.0,20K,0,12600000,98,https://image.tmdb.org/t/p/w500/rUcuageYgv9SsJoWuc0seRWG6JC.jpg
https://www.imdb.com/title/tt10245072/,Salem's Lot,Horror,10/3/24,5.6,32K,0,851200,114,https://image.tmdb.org/t/p/w500/j7ncdqBVufydVzVtxmXu8Ago4ox.jpg
https://www.imdb.com/title/tt1723808/,Reagan,Biography,8/30/24,6.2,10K,$25.0M,30100000,141,https://image.tmdb.org/t/p/w500/o21NB4f5fNk1dtrRlyAmA0C0cb3.jpg
https://www.imdb.com/title/tt30319503/,Dìdi,Comedy,8/16/24,7.3,11K,0,5100000,93,https://image.tmdb.org/t/p/w500/rb3R60903ghdBMtlo2EyCZ6WEdY.jpg
