Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue_$,Run_Time_Minutes
https://www.imdb.com/title/tt21261712/,Back to Black,Biography,5/17/24,6.3,25K,$30.0M,$51.0M,122
https://www.imdb.com/title/tt30319854/,Sugarcane,Documentary,12/9/24,7,2.2K,0,$121.6K,107
https://www.imdb.com/title/tt16826430/,Night Call,Action,8/28/24,6.9,1.3K,0,$679.4K,97
https://www.imdb.com/title/tt33674620/,Tabaah,Drama,10/18/24,5.5,472,$72.0K,$15.2K,108
https://www.imdb.com/title/tt31188121/,Rifle Club,Action,12/19/24,7,3.5K,$2.4M,$651.9K,113
https://www.imdb.com/title/tt27304026/,Damaged,Action,9/6/24,4.7,6.9K,0,$390.1K,97
https://www.imdb.com/title/tt23872640/,Dirty Angels,Action,12/11/24,4.3,2.8K,0,$27.2K,104
https://www.imdb.com/title/tt28821371/,MadS,Horror,10/18/24,6.4,6.4K,0,$49.8K,89
https://www.imdb.com/title/tt22042346/,2073,Documentary,12/27/24,5.1,1.4K,0,$45.6K,85
https://www.imdb.com/title/tt29461220/,Pani,Action,10/24/24,6.9,2.4K,0,$913.6K,143
https://www.imdb.com/title/tt30227076/,Black Box Diaries,Documentary,11/28/24,7.5,2.1K,0,$32.8K,102
https://www.imdb.com/title/tt26237514/,Bonhoeffer: Pastor. Spy. Assassin.,Biography,11/22/24,6.3,3.1K,0,$12.2M,133
https://www.imdb.com/title/tt14452174/,Soundtrack to a Coup d'Etat,Documentary,11/21/24,7.8,1.7K,0,$338.8K,150
https://www.imdb.com/title/tt30321146/,In a Violent Nature,Drama,6/28/24,5.6,24K,0,$4.6M,94
https://www.imdb.com/title/tt23468836/,Touch,Drama,5/29/24,7.4,4.9K,0,$3.0M,121
https://www.imdb.com/title/tt10993078/,Boneyard,Action,7/5/24,4.1,4.6K,0,$314.2K,96
https://www.imdb.com/title/tt5779228/,The Garfield Movie,Animation,5/24/24,5.7,23K,$60.0M,$257.2M,101
https://www.imdb.com/title/tt22874848/,The Silent Hour,Action,10/11/24,6.1,6.3K,0,$322.1K,99
https://www.imdb.com/title/tt22863968/,Something in the Water,Adventure,5/3/24,4.1,4.3K,0,$1.5M,86
https://www.imdb.com/title/tt30225465/,Why Do You?,Drama,4/25/24,5.4,380,0,$291.6K,103
https://www.imdb.com/title/tt1609486/,Harold and the Purple Crayon,Animation,8/2/24,5.7,7.4K,$40.0M,$32.2M,90
https://www.imdb.com/title/tt12735488/,Kalki 2898 AD,Action,6/27/24,7,65K,$72.0M,$125.9M,180
https://www.imdb.com/title/tt21201300/,Bagman,Horror,9/27/24,4.6,4K,$14.5M,$1.3M,93
https://www.imdb.com/title/tt5177114/,Young Woman and the Sea,Biography,7/19/24,7.5,16K,0,$581.7K,129
https://www.imdb.com/title/tt3954936/,Monster Summer,Adventure,10/4/24,5.7,3.3K,0,$102.9K,97
https://www.imdb.com/title/tt20201748/,Greedy People,Comedy,8/23/24,6.2,9.8K,0,$182.4K,112
https://www.imdb.com/title/tt14415204/,Never Let Go,Horror,9/20/24,5.4,13K,$25.0M,$16.6M,101
https://www.imdb.com/title/tt33175825/,Attack on Titan the Movie: The Last Attack,Animation,11/8/24,9.3,12K,0,$11.4M,145
https://www.imdb.com/title/tt30841606/,Rumours,Comedy,12/6/24,5.1,3.8K,0,$695.4K,104
https://www.imdb.com/title/tt18277182/,Girls Will Be Girls,Drama,12/18/24,7.1,2.1K,0,$16.3K,118
https://www.imdb.com/title/tt23330554/,Winnie-the-Pooh: Blood and Honey 2,Horror,6/26/24,4.7,11K,$1.0M,$7.6M,93
https://www.imdb.com/title/tt24577462/,Afraid,Horror,8/30/24,5.2,13K,$12.0M,$13.0M,84
https://www.imdb.com/title/tt14088510/,Tarot,Horror,5/3/24,4.8,30K,$8.2M,$49.3M,92
https://www.imdb.com/title/tt31723358/,Ask Me What You Want,Drama,11/29/24,3.4,277,0,$2.2M,114
https://www.imdb.com/title/tt13818368/,Fighter,Action,1/25/24,6.2,52K,$3.0M,$3.8M,166
https://www.imdb.com/title/tt31711040/,Look Back,Not_Found,11/7/24,7.8,13K,0,$12.6M,58
https://www.imdb.com/title/tt21905744/,The Front Room,Not_Found,9/6/24,4.6,4.9K,0,$3.2M,94
https://www.imdb.com/title/tt30321095/,Ghostlight,Not_Found,6/14/24,7.6,5.2K,0,$767.9K,115
https://www.imdb.com/title/tt29252358/,Armor,Not_Found,11/22/24,3.5,3.4K,0,$192.3K,89
https://www.imdb.com/title/tt21188080/,Lisa Frankenstein,Not_Found,2/9/24,6.1,27K,$13.0M,$9.9M,101
https://www.imdb.com/title/tt19864832/,La Cocina,Not_Found,10/25/24,7.3,1.9K,0,$97.5K,139
